Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9UPU5	UBP24_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)	USP24 KIAA1057	Homo sapiens (Human)	2620
Q8NB14	UBP38_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 38 (EC 3.4.19.12) (Deubiquitinating enzyme 38) (HP43.8KD) (Ubiquitin thioesterase 38) (Ubiquitin-specific-processing protease 38)	USP38 KIAA1891	Homo sapiens (Human)	1042
P09936	UCHL1_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCH-L1) (EC 3.4.19.12) (EC 6.-.-.-) (Neuron cytoplasmic protein 9.5) (PGP 9.5) (PGP9.5) (Ubiquitin thioesterase L1)	UCHL1	Homo sapiens (Human)	223
P45974	UBP5_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5)	USP5 ISOT	Homo sapiens (Human)	858
P35125	UBP6_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 6 (EC 3.4.19.12) (Deubiquitinating enzyme 6) (Proto-oncogene TRE-2) (Ubiquitin thioesterase 6) (Ubiquitin-specific-processing protease 6)	USP6 HRP1 TRE2	Homo sapiens (Human)	1406
C9JPN9	UL17C_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 12 (EC 3.4.19.12)	USP17L12	Homo sapiens (Human)	530
Q93009	UBP7_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	USP7 HAUSP	Homo sapiens (Human)	1102
Q8NFA0	UBP32_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 32 (EC 3.4.19.12) (Deubiquitinating enzyme 32) (Renal carcinoma antigen NY-REN-60) (Ubiquitin thioesterase 32) (Ubiquitin-specific-processing protease 32)	USP32 USP10	Homo sapiens (Human)	1604
P00749	UROK_HUMAN	reviewed	Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B]	PLAU	Homo sapiens (Human)	431
A6NCW0	U17L3_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 3) (Ubiquitin thioesterase 17-like protein 3) (Ubiquitin-specific-processing protease 17-like protein 3)	USP17L3 USP17B USP17F	Homo sapiens (Human)	530
Q9UPT9	UBP22_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 22 (EC 3.4.19.12) (Deubiquitinating enzyme 22) (Ubiquitin thioesterase 22) (Ubiquitin-specific-processing protease 22)	USP22 KIAA1063 USP3L	Homo sapiens (Human)	525
Q86UV5	UBP48_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 48 (EC 3.4.19.12) (Deubiquitinating enzyme 48) (Ubiquitin thioesterase 48) (Ubiquitin-specific peptidase 48) (Ubiquitin-specific protease 48) (Ubiquitin-specific-processing protease 48)	USP48 USP31	Homo sapiens (Human)	1035
Q9NVE5	UBP40_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 40 (EC 3.4.19.12) (Deubiquitinating enzyme 40) (Ubiquitin thioesterase 40) (Ubiquitin-specific-processing protease 40)	USP40	Homo sapiens (Human)	1235
Q96K76	UBP47_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47)	USP47	Homo sapiens (Human)	1375
O60235	TM11D_HUMAN	reviewed	Transmembrane protease serine 11D (EC 3.4.21.-) (Airway trypsin-like protease) [Cleaved into: Transmembrane protease serine 11D non-catalytic chain; Transmembrane protease serine 11D catalytic chain]	TMPRSS11D HAT	Homo sapiens (Human)	418
Q0WX57	U17LO_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 24 (EC 3.4.19.12) (Deubiquitinating enzyme 17) (Ubiquitin thioesterase 17) (Ubiquitin-specific-processing protease 17)	USP17L24 USP17 USP17H USP17I USP17J USP17K USP17L USP17M; USP17L25; USP17L26; USP17L27; USP17L28; USP17L29; USP17L30	Homo sapiens (Human)	530
D6R9N7	U17LI_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 18 (EC 3.4.19.12)	USP17L18	Homo sapiens (Human)	530
A8MUK1	U17L5_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 5 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 5) (Ubiquitin thioesterase 17-like protein 5) (Ubiquitin-specific-processing protease 17-like protein 5)	USP17L5	Homo sapiens (Human)	530
Q70CQ1	UBP49_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 49 (EC 3.4.19.12) (Deubiquitinating enzyme 49) (Ubiquitin thioesterase 49) (Ubiquitin-specific-processing protease 49)	USP49	Homo sapiens (Human)	688
Q96RU2	UBP28_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 28 (EC 3.4.19.12) (Deubiquitinating enzyme 28) (Ubiquitin thioesterase 28) (Ubiquitin-specific-processing protease 28)	USP28 KIAA1515	Homo sapiens (Human)	1077
Q9H9J4	UBP42_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 42 (EC 3.4.19.12) (Deubiquitinating enzyme 42) (Ubiquitin thioesterase 42) (Ubiquitin-specific-processing protease 42)	USP42	Homo sapiens (Human)	1324
P15374	UCHL3_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase isozyme L3 (UCH-L3) (EC 3.4.19.12) (Ubiquitin thioesterase L3)	UCHL3	Homo sapiens (Human)	230
O94966	UBP19_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 19 (EC 3.4.19.12) (Deubiquitinating enzyme 19) (Ubiquitin thioesterase 19) (Ubiquitin-specific-processing protease 19) (Zinc finger MYND domain-containing protein 9)	USP19 KIAA0891 ZMYND9	Homo sapiens (Human)	1318
Q9H0E7	UBP44_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 44 (EC 3.4.19.12) (Deubiquitinating enzyme 44) (Ubiquitin thioesterase 44) (Ubiquitin-specific-processing protease 44)	USP44	Homo sapiens (Human)	712
Q70CQ4	UBP31_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 31 (EC 3.4.19.12) (Deubiquitinating enzyme 31) (Ubiquitin thioesterase 31) (Ubiquitin-specific-processing protease 31)	USP31 KIAA1203	Homo sapiens (Human)	1352
P40818	UBP8_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 8 (EC 3.4.19.12) (Deubiquitinating enzyme 8) (Ubiquitin isopeptidase Y) (hUBPy) (Ubiquitin thioesterase 8) (Ubiquitin-specific-processing protease 8)	USP8 KIAA0055 UBPY	Homo sapiens (Human)	1118
P07478	TRY2_HUMAN	reviewed	Trypsin-2 (EC 3.4.21.4) (Anionic trypsinogen) (Serine protease 2) (Trypsin II)	PRSS2 TRY2 TRYP2	Homo sapiens (Human)	247
Q9NRR2	TRYG1_HUMAN	reviewed	Tryptase gamma (EC 3.4.21.-) (Serine protease 31) (Transmembrane tryptase) [Cleaved into: Tryptase gamma light chain; Tryptase gamma heavy chain]	TPSG1 PRSS31 TMT	Homo sapiens (Human)	321
Q7RTZ2	U17L1_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 1 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 1) (Ubiquitin thioesterase 17-like protein 1) (Ubiquitin-specific-processing protease 17-like protein 1)	USP17L1 USP17L USP17L1P	Homo sapiens (Human)	530
Q6QN14	U17L6_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 6 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 6) (Ubiquitin thioesterase 17-like protein 6) (Ubiquitin-specific-processing protease 17-like protein 6)	USP17L6P USP17C USP17D USP17N	Homo sapiens (Human)	398
C9J2P7	U17LF_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 15 (EC 3.4.19.12)	USP17L15	Homo sapiens (Human)	530
P54578	UBP14_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)	USP14 TGT	Homo sapiens (Human)	494
Q14694	UBP10_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	USP10 KIAA0190	Homo sapiens (Human)	798
Q70EL2	UBP45_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 45 (EC 3.4.19.12) (Deubiquitinating enzyme 45) (Ubiquitin thioesterase 45) (Ubiquitin-specific-processing protease 45)	USP45	Homo sapiens (Human)	814
D6RA61	U17LM_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 22 (EC 3.4.19.12)	USP17L22	Homo sapiens (Human)	530
D6RCP7	U17LJ_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 19 (EC 3.4.19.12)	USP17L19	Homo sapiens (Human)	530
Q96JH7	VCIP1_HUMAN	reviewed	Deubiquitinating protein VCIP135 (EC 3.4.19.12) (Valosin-containing protein p97/p47 complex-interacting protein 1) (Valosin-containing protein p97/p47 complex-interacting protein p135) (VCP/p47 complex-interacting 135-kDa protein)	VCPIP1 KIAA1850 VCIP135	Homo sapiens (Human)	1222
Q9NUQ7	UFSP2_HUMAN	reviewed	Ufm1-specific protease 2 (UfSP2) (EC 3.4.22.-)	UFSP2 C4orf20	Homo sapiens (Human)	469
Q5W0Q7	USPL1_HUMAN	reviewed	SUMO-specific isopeptidase USPL1 (EC 3.4.22.-) (Ubiquitin-specific peptidase-like protein 1) (USP-like 1)	USPL1 C13orf22 D13S106	Homo sapiens (Human)	1092
O00507	USP9Y_HUMAN	reviewed	Probable ubiquitin carboxyl-terminal hydrolase FAF-Y (EC 3.4.19.12) (Deubiquitinating enzyme FAF-Y) (Fat facets protein-related, Y-linked) (Ubiquitin thioesterase FAF-Y) (Ubiquitin-specific protease 9, Y chromosome) (Ubiquitin-specific-processing protease FAF-Y)	USP9Y DFFRY	Homo sapiens (Human)	2555
P35030	TRY3_HUMAN	reviewed	Trypsin-3 (EC 3.4.21.4) (Brain trypsinogen) (Mesotrypsinogen) (Serine protease 3) (Serine protease 4) (Trypsin III) (Trypsin IV)	PRSS3 PRSS4 TRY3 TRY4	Homo sapiens (Human)	304
Q9UI38	TSP50_HUMAN	reviewed	Probable threonine protease PRSS50 (EC 3.4.25.-) (Cancer/testis antigen 20) (Serine protease 50) (Testis-specific protease-like protein 50)	PRSS50 CT20 TSP50	Homo sapiens (Human)	385
Q9BYE2	TMPSD_HUMAN	reviewed	Transmembrane protease serine 13 (EC 3.4.21.-) (Membrane-type mosaic serine protease) (Mosaic serine protease)	TMPRSS13 MSP TMPRSS11	Homo sapiens (Human)	586
Q9UKU6	TRHDE_HUMAN	reviewed	Thyrotropin-releasing hormone-degrading ectoenzyme (TRH-DE) (TRH-degrading ectoenzyme) (EC 3.4.19.6) (Pyroglutamyl-peptidase II) (PAP-II) (TRH-specific aminopeptidase) (Thyroliberinase)	TRHDE UNQ2507/PRO5995	Homo sapiens (Human)	1024
P21580	TNAP3_HUMAN	reviewed	Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) (OTU domain-containing protein 7C) (Putative DNA-binding protein A20) (Zinc finger protein A20) [Cleaved into: A20p50; A20p37]	TNFAIP3 OTUD7C	Homo sapiens (Human)	790
P29144	TPP2_HUMAN	reviewed	Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II)	TPP2	Homo sapiens (Human)	1249
P02788	TRFL_HUMAN	reviewed	Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C]	LTF GIG12 LF	Homo sapiens (Human)	710
Q8NHM4	TRY6_HUMAN	reviewed	Putative trypsin-6 (EC 3.4.21.4) (Serine protease 3 pseudogene 2) (Trypsinogen C)	PRSS3P2 T6 TRY6	Homo sapiens (Human)	247
P20231	TRYB2_HUMAN	reviewed	Tryptase beta-2 (Tryptase-2) (EC 3.4.21.59) (Tryptase II)	TPSB2 TPS2	Homo sapiens (Human)	275
Q9BZJ3	TRYD_HUMAN	reviewed	Tryptase delta (EC 3.4.21.59) (Delta-tryptase) (HmMCP-3-like tryptase III) (Mast cell mMCP-7-like) (Tryptase-3)	TPSD1	Homo sapiens (Human)	242
Q9H3S3	TMPS5_HUMAN	reviewed	Transmembrane protease serine 5 (EC 3.4.21.-) (Spinesin)	TMPRSS5	Homo sapiens (Human)	457
O14773	TPP1_HUMAN	reviewed	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	TPP1 CLN2 GIG1 UNQ267/PRO304	Homo sapiens (Human)	563
Q9UK80	UBP21_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 21 (EC 3.4.19.12) (Deubiquitinating enzyme 21) (Ubiquitin thioesterase 21) (Ubiquitin-specific-processing protease 21)	USP21 USP23 PP1490	Homo sapiens (Human)	565
Q13107	UBP4_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 4 (EC 3.4.19.12) (Deubiquitinating enzyme 4) (Ubiquitin thioesterase 4) (Ubiquitin-specific-processing protease 4) (Ubiquitous nuclear protein homolog)	USP4 UNP UNPH	Homo sapiens (Human)	963
Q70EK9	UBP51_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 51 (EC 3.4.19.12) (Deubiquitinating enzyme 51) (Ubiquitin thioesterase 51) (Ubiquitin-specific-processing protease 51)	USP51	Homo sapiens (Human)	711
Q9NQH7	XPP3_HUMAN	reviewed	Xaa-Pro aminopeptidase 3 (X-Pro aminopeptidase 3) (EC 3.4.11.9) (Aminopeptidase P3) (APP3)	XPNPEP3	Homo sapiens (Human)	507
P63124	VPK04_HUMAN	reviewed	Endogenous retrovirus group K member 104 Pro protein (HERV-K104 Pro protein) (HERV-K_5q13.3 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	HERV-K104	Homo sapiens (Human)	156
P63123	VPK18_HUMAN	reviewed	Endogenous retrovirus group K member 18 Pro protein (HERV-K(C1a) Pro protein) (HERV-K110 Pro protein) (HERV-K18 Pro protein) (HERV-K_1q23.3 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-18	Homo sapiens (Human)	156
P63119	VPK21_HUMAN	reviewed	Endogenous retrovirus group K member 21 Pro protein (HERV-K_12q14.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-21	Homo sapiens (Human)	156
P63129	VPK24_HUMAN	reviewed	Endogenous retrovirus group K member 24 Pro protein (HERV-K101 envelope protein) (HERV-K_22q11.21 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-24	Homo sapiens (Human)	156
P63125	VPK25_HUMAN	reviewed	Endogenous retrovirus group K member 25 Pro protein (HERV-K_11q22.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-25	Homo sapiens (Human)	156
Q9NQW7	XPP1_HUMAN	reviewed	Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)	XPNPEP1 XPNPEPL XPNPEPL1	Homo sapiens (Human)	623
O43895	XPP2_HUMAN	reviewed	Xaa-Pro aminopeptidase 2 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Membrane-bound aminopeptidase P) (Membrane-bound APP) (Membrane-bound AmP) (mAmP) (X-Pro aminopeptidase 2)	XPNPEP2	Homo sapiens (Human)	674
P10265	VPK10_HUMAN	reviewed	Endogenous retrovirus group K member 10 Pro protein (HERV-K10 Pro protein) (HERV-K107 Pro protein) (HERV-K_5q33.3 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-10	Homo sapiens (Human)	156
P63121	VP113_HUMAN	reviewed	Endogenous retrovirus group K member 113 Pro protein (HERV-K113 envelope protein) (HERV-K_19p13.11 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	HERVK_113	Homo sapiens (Human)	156
Q9Y6I0	VPK6_HUMAN	reviewed	Endogenous retrovirus group K member 6 Pro protein (HERV-K(C7) Pro protein) (HERV-K(HML-2.HOM) Pro protein) (HERV-K108 Pro protein) (HERV-K_7p22.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-6 ERVK6	Homo sapiens (Human)	156
P63131	VPK7_HUMAN	reviewed	Endogenous retrovirus group K member 7 Pro protein (HERV-K(III) Pro protein) (HERV-K102 Pro protein) (HERV-K_1q22 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-7	Homo sapiens (Human)	156
P63127	VPK9_HUMAN	reviewed	Endogenous retrovirus group K member 9 Pro protein (HERV-K(C6) Pro protein) (HERV-K109 Pro protein) (HERV-K_6q14.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-9	Homo sapiens (Human)	156
P63120	VPK19_HUMAN	reviewed	Endogenous retrovirus group K member 19 Pro protein (HERV-K(C19) Pro protein) (HERV-K_19q12 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-19	Homo sapiens (Human)	156
P63122	VPK8_HUMAN	reviewed	Endogenous retrovirus group K member 8 Pro protein (HERV-K115 Pro protein) (HERV-K_8p23.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-8	Homo sapiens (Human)	156
Q9NQE7	TSSP_HUMAN	reviewed	Thymus-specific serine protease (EC 3.4.-.-) (Serine protease 16)	PRSS16 TSSP	Homo sapiens (Human)	514
Q15661	TRYB1_HUMAN	reviewed	Tryptase alpha/beta-1 (Tryptase-1) (EC 3.4.21.59) (Tryptase I) (Tryptase alpha-1)	TPSAB1 TPS1 TPS2 TPSB1	Homo sapiens (Human)	275
P07477	TRY1_HUMAN	reviewed	Trypsin-1 (EC 3.4.21.4) (Beta-trypsin) (Cationic trypsinogen) (Serine protease 1) (Trypsin I) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2]	PRSS1 TRP1 TRY1 TRYP1	Homo sapiens (Human)	247
A6NFA1	TIKI2_HUMAN	reviewed	Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)	TRABD2B HKAT TIKI2	Homo sapiens (Human)	517
Q8IU80	TMPS6_HUMAN	reviewed	Transmembrane protease serine 6 (EC 3.4.21.-) (Matriptase-2)	TMPRSS6 UNQ354/PRO618	Homo sapiens (Human)	811
P57727	TMPS3_HUMAN	reviewed	Transmembrane protease serine 3 (EC 3.4.21.-) (Serine protease TADG-12) (Tumor-associated differentially-expressed gene 12 protein)	TMPRSS3 ECHOS1 TADG12 UNQ323/PRO382	Homo sapiens (Human)	454
Q9NRS4	TMPS4_HUMAN	reviewed	Transmembrane protease serine 4 (EC 3.4.21.-) (Channel-activating protease 2) (CAPH2) (Membrane-type serine protease 2) (MT-SP2)	TMPRSS4 TMPRSS3 UNQ776/PRO1570	Homo sapiens (Human)	437
P00750	TPA_HUMAN	reviewed	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	PLAT	Homo sapiens (Human)	562
O15393	TMPS2_HUMAN	reviewed	Transmembrane protease serine 2 (EC 3.4.21.-) (Serine protease 10) [Cleaved into: Transmembrane protease serine 2 non-catalytic chain; Transmembrane protease serine 2 catalytic chain]	TMPRSS2 PRSS10	Homo sapiens (Human)	492
Q86WS5	TMPSC_HUMAN	reviewed	Transmembrane protease serine 12 (EC 3.4.21.-)	TMPRSS12	Homo sapiens (Human)	348
P00734	THRB_HUMAN	reviewed	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2	Homo sapiens (Human)	622
Q86V40	TIKI1_HUMAN	reviewed	Metalloprotease TIKI1 (EC 3.4.-.-) (TRAB domain-containing protein 2A)	TRABD2A C2orf89 TIKI1	Homo sapiens (Human)	505
O43897	TLL1_HUMAN	reviewed	Tolloid-like protein 1 (EC 3.4.24.-)	TLL1 TLL	Homo sapiens (Human)	1013
Q9Y6L7	TLL2_HUMAN	reviewed	Tolloid-like protein 2 (EC 3.4.24.-)	TLL2 KIAA0932	Homo sapiens (Human)	1015
Q86T26	TM11B_HUMAN	reviewed	Transmembrane protease serine 11B (EC 3.4.21.-) (Airway trypsin-like protease 5)	TMPRSS11B HATL5	Homo sapiens (Human)	416
Q6ZWK6	TM11F_HUMAN	reviewed	Transmembrane protease serine 11F (EC 3.4.21.-) (Airway trypsin-like protease 4)	TMPRSS11F HATL4	Homo sapiens (Human)	438
Q6ZMR5	TM11A_HUMAN	reviewed	Transmembrane protease serine 11A (EC 3.4.21.-) (Airway trypsin-like protease 1) (Epidermal type-II transmembrane serine protease) (Esophageal cancer-susceptibility gene 1 protein)	TMPRSS11A ECRG1 HATL1 HESP	Homo sapiens (Human)	421
Q9UL52	TM11E_HUMAN	reviewed	Transmembrane protease serine 11E (EC 3.4.21.-) (Serine protease DESC1) (Transmembrane protease serine 11E2) [Cleaved into: Transmembrane protease serine 11E non-catalytic chain; Transmembrane protease serine 11E catalytic chain]	TMPRSS11E DESC1 TMPRSS11E2 UNQ742/PRO1461	Homo sapiens (Human)	423
Q7RTY8	TMPS7_HUMAN	reviewed	Transmembrane protease serine 7 (EC 3.4.21.-) (Matriptase-3)	TMPRSS7	Homo sapiens (Human)	843
Q7Z410	TMPS9_HUMAN	reviewed	Transmembrane protease serine 9 (EC 3.4.21.-) (Polyserase-I) (Polyserine protease 1) (Polyserase-1) [Cleaved into: Serase-1; Serase-2; Serase-3]	TMPRSS9	Homo sapiens (Human)	1059
A6NGU5	GGT3_HUMAN	reviewed	Putative glutathione hydrolase 3 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 3) (Putative gamma-glutamyltranspeptidase 3) (GGT 3) (EC 2.3.2.2) [Cleaved into: Putative glutathione hydrolase 3 heavy chain; Putative glutathione hydrolase 3 light chain]	GGT3P GGT3	Homo sapiens (Human)	568
Q6P531	GGT6_HUMAN	reviewed	Glutathione hydrolase 6 (EC 3.4.19.13) (Gamma-glutamyltransferase 6) (GGT 6) (EC 2.3.2.2) (Gamma-glutamyltranspeptidase 6) [Cleaved into: Glutathione hydrolase 6 heavy chain; Glutathione hydrolase 6 light chain]	GGT6	Homo sapiens (Human)	493
P19440	GGT1_HUMAN	reviewed	Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain]	GGT1 GGT	Homo sapiens (Human)	569
Q92820	GGH_HUMAN	reviewed	Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase)	GGH	Homo sapiens (Human)	318
P36269	GGT5_HUMAN	reviewed	Glutathione hydrolase 5 proenzyme (EC 3.4.19.13) (Gamma-glutamyl transpeptidase-related enzyme) (GGT-rel) (Gamma-glutamyltransferase 5) (GGT 5) (EC 2.3.2.2) (Gamma-glutamyltransferase-like activity 1) (Gamma-glutamyltranspeptidase 5) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) [Cleaved into: Glutathione hydrolase 5 heavy chain; Glutathione hydrolase 5 light chain]	GGT5 GGTLA1	Homo sapiens (Human)	586
P08246	ELNE_HUMAN	reviewed	Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase)	ELANE ELA2	Homo sapiens (Human)	267
P00740	FA9_HUMAN	reviewed	Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]	F9	Homo sapiens (Human)	461
Q9Y256	FACE2_HUMAN	reviewed	CAAX prenyl protease 2 (EC 3.4.22.-) (Farnesylated proteins-converting enzyme 2) (FACE-2) (Prenyl protein-specific endoprotease 2) (RCE1 homolog) (hRCE1)	RCE1 FACE2 RCE1A RCE1B	Homo sapiens (Human)	329
O75844	FACE1_HUMAN	reviewed	CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog)	ZMPSTE24 FACE1 STE24	Homo sapiens (Human)	475
Q14674	ESPL1_HUMAN	reviewed	Separin (EC 3.4.22.49) (Caspase-like protein ESPL1) (Extra spindle poles-like 1 protein) (Separase)	ESPL1 ESP1 KIAA0165	Homo sapiens (Human)	2120
Q6P179	ERAP2_HUMAN	reviewed	Endoplasmic reticulum aminopeptidase 2 (EC 3.4.11.-) (Leukocyte-derived arginine aminopeptidase) (L-RAP)	ERAP2 LRAP	Homo sapiens (Human)	960
Q7Z2K6	ERMP1_HUMAN	reviewed	Endoplasmic reticulum metallopeptidase 1 (EC 3.4.-.-) (Felix-ina)	ERMP1 FXNA KIAA1815	Homo sapiens (Human)	904
O00303	EIF3F_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	EIF3F EIF3S5	Homo sapiens (Human)	357
Q9BSY9	DESI2_HUMAN	reviewed	Deubiquitinase DESI2 (EC 3.4.19.12) (Desumoylating isopeptidase 2) (DeSI-2) (PPPDE peptidase domain-containing protein 1) (Protein FAM152A)	DESI2 C1orf121 FAM152A PPPDE1 CGI-146 PNAS-4	Homo sapiens (Human)	194
